Locality_ID,mita,Elevation,Slope
7,1,1775.86,7.28416
8,1,1759.9301,8.26771
26,1,2062.02,10.5011
27,1,2619.3799,7.54617
28,1,2921,12.1881
29,1,3372.99,8.82715
46,1,2854.29,8.02109
47,1,3712.21,4.04668
48,1,3767.52,5.67007
53,1,3967.47,6.69133
54,1,3294.75,9.89758
55,1,3753.04,4.98156
65,1,2861.49,9.20841
66,1,3821.3201,5.88574
67,1,4384.1099,2.86106
68,1,4427.27,2.00766
71,1,3502.9299,8.56177
72,1,3110,12.4101
73,1,3492.8999,8.77807
74,1,2932.0901,11.27
84,1,3730.5,4.77546
85,1,4269.7402,4.31705
86,1,4402.5601,4.02536
87,1,4425.8999,2.12247
88,1,4339.9302,2.89837
89,1,3927.01,3.34274
90,1,3649.47,9.73341
91,1,3401.9199,10.9255
92,1,3229.77,9.78552
93,1,3568.0901,10.7817
94,1,2759.4099,14.3538
100,0,2847.0601,3.05218
101,0,3679.1799,3.92563
102,1,3816.1201,8.95694
103,1,4097.54,5.11129
104,1,3939.45,5.20546
105,1,4128.9102,4.32435
106,1,4442.7402,2.61223
107,1,4209.8398,3.33437
108,1,3838.8701,3.75818
109,1,3983.6001,4.30931
110,1,3920.3201,4.31315
111,1,3554.1399,7.84372
112,1,2775.5,15.1039
119,0,3164.02,6.65841
120,0,2886.49,12.8583
121,1,2815.03,13.2097
122,1,3811.0601,12.1416
123,1,4178.48,7.08596
124,1,4355.8301,4.23266
125,1,4244.8198,4.13218
126,1,4157.6699,6.22521
127,1,3670.3201,10.2182
128,1,3684.23,8.94498
129,1,4145.0098,4.4774
130,1,3586.1399,6.52313
131,1,2583.26,16.0389
138,0,2056.3401,15.1716
139,0,2737.24,17.2472
140,0,3585.6899,14.4711
141,1,4551.46,5.20024
142,1,4621.3901,1.55016
143,1,4517.8701,3.9365
144,1,4574.0098,2.95884
145,1,4180.6602,7.56757
146,1,3688.1299,11.6669
147,1,3481.8401,10.7957
148,1,3662.8401,9.0074
149,1,3565.48,8.8753
